id,years,respect,communication,trust,conflict,time_spent,support,relationship_status,question,answer
1,0,4,6,2,8,10,7,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
2,11,3,9,3,7,9,2,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
3,2,5,10,5,2,3,2,Bad,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
4,13,8,1,10,10,5,6,Bad,What is love?,Love is a deep feeling of affection and care.
5,5,6,7,4,10,5,1,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
6,14,10,2,3,9,4,2,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
7,0,1,3,4,7,7,1,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
8,14,10,7,7,3,4,6,Good,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
9,3,10,10,4,10,3,7,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
10,15,6,3,4,2,10,1,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
11,6,9,3,10,7,8,2,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
12,8,6,8,8,1,7,2,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
13,3,9,8,2,5,5,5,Bad,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
14,0,1,6,10,9,3,6,Bad,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
15,6,9,8,7,3,10,5,Good,How important is respect?,Respect is the foundation for a long-lasting relationship.
16,15,4,4,8,5,3,2,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
17,3,3,2,6,1,6,2,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
18,4,6,3,8,10,9,1,Bad,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
19,6,3,3,2,8,7,6,Bad,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
20,1,5,9,8,3,8,10,Good,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
21,10,5,7,2,8,6,6,Bad,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
22,1,4,4,1,0,8,9,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
23,13,1,6,2,8,3,2,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
24,10,10,3,2,4,6,2,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
25,6,5,3,3,4,2,5,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
26,3,5,6,1,2,5,8,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
27,13,4,6,5,7,7,7,Bad,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
28,11,1,6,3,3,10,4,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
29,1,9,2,7,3,2,2,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
30,9,6,6,6,4,10,10,Good,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
31,1,2,10,2,1,3,7,Bad,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
32,5,1,9,9,5,2,3,Bad,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
33,3,8,4,1,5,6,8,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
34,0,5,6,7,10,6,6,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
35,3,8,3,5,8,4,6,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
36,3,7,6,8,6,9,2,Bad,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
37,11,4,1,6,10,1,8,Bad,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
38,3,8,9,3,8,9,3,Bad,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
39,4,7,2,8,8,9,2,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
40,5,10,4,9,6,3,1,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
41,9,7,1,6,10,5,5,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
42,7,7,7,5,7,6,3,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
43,9,7,10,10,10,9,10,Good,What is love?,Love is a deep feeling of affection and care.
44,1,3,3,7,0,3,2,Bad,What is love?,Love is a deep feeling of affection and care.
45,7,8,6,1,6,5,4,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
46,5,7,1,3,4,4,9,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
47,0,3,1,7,10,9,8,Bad,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
48,2,8,1,8,7,6,10,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
49,4,2,6,5,8,5,7,Bad,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
50,9,1,7,7,6,3,10,Bad,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
51,12,1,2,4,3,8,5,Bad,What is love?,Love is a deep feeling of affection and care.
52,12,1,5,4,3,9,3,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
53,11,2,4,1,7,10,6,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
54,2,6,8,3,4,7,9,Bad,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
55,8,1,9,2,0,10,3,Bad,What is love?,Love is a deep feeling of affection and care.
56,11,6,8,8,5,1,10,Good,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
57,6,4,7,5,3,10,7,Bad,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
58,2,4,3,3,4,6,1,Bad,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
59,3,4,7,2,6,8,5,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
60,0,7,6,6,1,10,8,Good,What makes a relationship strong?,"Support, trust, respect, and shared goals."
61,0,1,4,8,7,3,10,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
62,10,2,3,6,7,4,3,Bad,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
63,12,5,8,3,10,4,10,Bad,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
64,4,8,5,3,7,5,10,Bad,What is love?,Love is a deep feeling of affection and care.
65,1,10,6,7,2,1,8,Good,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
66,0,1,5,6,4,8,7,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
67,11,1,9,3,10,2,7,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
68,7,8,7,10,0,3,2,Good,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
69,10,8,9,10,5,3,4,Good,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
70,2,4,4,6,3,10,6,Bad,What is love?,Love is a deep feeling of affection and care.
71,7,5,9,4,10,2,2,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
72,15,7,5,7,5,5,2,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
73,11,7,8,7,5,3,4,Bad,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
74,15,6,3,4,9,2,5,Bad,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
75,7,4,9,8,9,8,7,Bad,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
76,10,3,10,3,0,5,7,Bad,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
77,2,10,1,5,10,1,5,Bad,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
78,9,3,3,9,6,9,1,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
79,14,6,1,3,0,5,10,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
80,2,10,7,3,6,8,4,Bad,What is love?,Love is a deep feeling of affection and care.
81,6,6,3,1,10,10,1,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
82,5,2,8,4,3,4,5,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
83,8,2,4,3,7,3,8,Bad,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
84,2,2,1,1,4,3,10,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
85,13,7,3,9,6,8,4,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
86,12,9,6,10,5,1,2,Bad,What is love?,Love is a deep feeling of affection and care.
87,1,3,3,9,2,7,8,Bad,What is love?,Love is a deep feeling of affection and care.
88,11,3,8,4,9,10,5,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
89,12,3,2,3,8,7,5,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
90,8,7,4,2,10,8,8,Bad,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
91,3,6,2,10,10,9,2,Bad,What is love?,Love is a deep feeling of affection and care.
92,11,6,1,3,0,8,6,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
93,2,4,3,7,1,6,4,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
94,12,6,9,2,3,4,9,Bad,What is love?,Love is a deep feeling of affection and care.
95,12,8,2,8,5,7,7,Bad,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
96,0,8,3,5,4,8,5,Bad,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
97,4,8,1,10,2,9,1,Bad,What is love?,Love is a deep feeling of affection and care.
98,2,5,10,7,9,3,7,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
99,6,4,9,7,2,5,7,Good,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
100,13,2,6,4,8,8,3,Bad,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
101,13,6,1,7,1,6,4,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
102,9,10,8,3,5,7,8,Good,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
103,5,1,9,1,3,6,1,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
104,0,3,3,9,1,8,5,Bad,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
105,11,9,4,8,2,9,7,Good,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
106,8,10,7,6,3,6,2,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
107,7,2,10,3,1,6,10,Good,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
108,1,8,5,5,9,3,1,Bad,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
109,3,8,2,10,0,9,10,Good,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
110,2,9,10,2,3,7,10,Good,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
111,2,10,7,7,2,4,2,Good,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
112,9,2,2,9,3,8,7,Bad,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
113,15,9,3,2,3,4,3,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
114,15,1,4,9,5,5,10,Bad,What is love?,Love is a deep feeling of affection and care.
115,7,3,7,10,3,7,6,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
116,11,6,5,5,1,3,9,Good,How important is respect?,Respect is the foundation for a long-lasting relationship.
117,6,4,8,3,2,4,7,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
118,8,2,1,6,4,6,10,Bad,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
119,5,4,3,2,7,6,1,Bad,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
120,0,3,6,10,0,3,8,Good,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
121,5,2,10,5,10,4,4,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
122,8,8,3,9,0,4,7,Good,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
123,7,4,10,1,9,3,2,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
124,6,9,8,6,8,10,5,Bad,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
125,7,6,6,10,6,8,1,Bad,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
126,15,10,10,1,9,4,4,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
127,3,3,7,1,1,9,4,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
128,2,5,5,4,9,10,8,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
129,1,5,2,8,8,3,7,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
130,6,9,1,5,9,8,2,Bad,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
131,13,7,1,4,8,9,6,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
132,0,10,5,3,3,7,1,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
133,4,5,5,5,10,7,8,Bad,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
134,11,8,5,3,8,10,9,Bad,What is love?,Love is a deep feeling of affection and care.
135,2,5,7,5,6,6,1,Bad,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
136,10,10,3,7,9,8,10,Bad,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
137,15,2,10,7,6,2,3,Bad,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
138,0,6,9,9,7,8,8,Good,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
139,10,4,5,5,5,8,8,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
140,15,9,1,3,8,5,8,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
141,14,4,9,6,10,2,7,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
142,1,10,3,10,2,6,2,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
143,11,6,3,2,3,4,9,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
144,12,2,10,2,6,7,8,Bad,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
145,6,6,6,6,9,6,3,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
146,15,3,9,8,0,2,7,Good,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
147,2,2,3,2,10,10,5,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
148,8,9,6,10,8,8,1,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
149,0,8,4,2,6,4,1,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
150,8,8,5,7,8,3,9,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
151,14,8,5,5,7,10,4,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
152,0,7,3,10,2,1,7,Good,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
153,5,8,6,1,8,7,7,Bad,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
154,14,8,1,9,5,6,3,Bad,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
155,0,6,2,10,2,3,3,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
156,8,9,3,10,3,4,7,Good,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
157,3,3,5,1,8,4,6,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
158,12,3,9,4,4,2,10,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
159,10,1,1,1,6,5,3,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
160,9,5,2,6,1,3,4,Bad,What is love?,Love is a deep feeling of affection and care.
161,14,8,1,5,0,2,10,Good,What is love?,Love is a deep feeling of affection and care.
162,14,5,9,5,4,1,10,Good,What is love?,Love is a deep feeling of affection and care.
163,13,8,10,8,4,7,6,Good,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
164,8,6,9,4,9,8,8,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
165,6,9,5,3,1,4,8,Good,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
166,3,9,1,3,8,3,7,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
167,4,9,1,10,3,7,3,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
168,5,4,6,2,2,6,6,Bad,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
169,13,8,9,3,10,5,2,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
170,3,2,2,3,1,7,3,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
171,4,6,3,1,2,8,3,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
172,6,9,8,9,9,3,2,Bad,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
173,9,7,5,2,3,3,9,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
174,10,2,8,1,3,10,1,Bad,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
175,10,9,3,6,2,9,1,Bad,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
176,9,7,1,3,0,10,3,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
177,12,3,4,2,8,8,3,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
178,7,5,7,8,4,6,2,Bad,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
179,14,4,5,5,8,1,3,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
180,1,7,3,7,10,5,8,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
181,0,3,2,9,7,3,1,Bad,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
182,3,5,8,2,7,4,6,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
183,0,8,10,5,9,2,2,Bad,What is love?,Love is a deep feeling of affection and care.
184,3,2,8,5,9,1,7,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
185,7,4,6,5,2,9,6,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
186,15,9,4,7,3,5,8,Good,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
187,9,6,2,10,7,2,3,Bad,What is love?,Love is a deep feeling of affection and care.
188,2,6,1,2,3,3,10,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
189,15,4,5,8,6,3,4,Bad,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
190,6,5,1,5,3,5,8,Bad,What is love?,Love is a deep feeling of affection and care.
191,4,8,10,7,2,4,5,Good,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
192,3,2,6,7,1,3,7,Bad,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
193,0,4,9,7,1,4,4,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
194,4,6,10,7,2,4,6,Good,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
195,8,7,1,3,9,3,3,Bad,What is love?,Love is a deep feeling of affection and care.
196,6,10,6,5,6,1,9,Good,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
197,4,4,9,7,6,5,3,Bad,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
198,9,3,2,2,3,10,10,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
199,3,5,8,7,3,5,5,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
200,7,6,8,2,3,9,8,Bad,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
201,13,8,8,5,9,7,7,Bad,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
202,11,10,7,2,9,3,2,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
203,2,4,10,10,5,6,8,Good,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
204,3,1,7,7,9,8,1,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
205,1,5,2,10,0,6,10,Good,How important is respect?,Respect is the foundation for a long-lasting relationship.
206,12,4,7,8,1,10,1,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
207,14,1,8,1,5,2,4,Bad,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
208,15,9,10,8,3,6,7,Good,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
209,11,6,8,10,4,9,2,Bad,What is love?,Love is a deep feeling of affection and care.
210,9,6,5,8,9,2,5,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
211,0,2,6,6,3,2,9,Bad,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
212,13,6,4,1,8,9,8,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
213,8,5,6,7,1,7,3,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
214,1,2,2,10,3,6,7,Bad,What is love?,Love is a deep feeling of affection and care.
215,7,9,9,3,3,6,6,Good,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
216,8,6,3,2,4,5,10,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
217,4,3,5,7,6,10,4,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
218,2,2,7,5,2,3,1,Bad,What is love?,Love is a deep feeling of affection and care.
219,12,4,5,8,7,4,5,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
220,14,3,9,4,1,6,6,Bad,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
221,7,2,4,1,10,3,9,Bad,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
222,7,3,1,8,8,10,9,Bad,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
223,3,5,7,7,2,6,8,Good,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
224,3,2,8,9,9,1,5,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
225,12,6,1,10,0,8,4,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
226,6,1,2,7,8,9,1,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
227,14,4,5,3,5,9,6,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
228,11,2,9,8,1,3,4,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
229,1,3,9,5,2,8,4,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
230,9,6,6,1,8,10,4,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
231,9,9,6,7,5,5,9,Good,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
232,5,5,2,6,8,5,7,Bad,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
233,1,6,3,10,2,1,10,Good,What is love?,Love is a deep feeling of affection and care.
234,13,2,2,5,1,7,6,Bad,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
235,10,7,10,6,7,3,9,Good,How important is respect?,Respect is the foundation for a long-lasting relationship.
236,4,7,1,6,7,10,1,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
237,1,2,10,10,7,5,7,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
238,4,2,3,2,6,8,9,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
239,3,3,6,8,0,6,10,Good,What makes a relationship strong?,"Support, trust, respect, and shared goals."
240,11,2,2,8,1,8,6,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
241,13,4,4,4,7,3,7,Bad,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
242,0,3,10,4,7,6,1,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
243,9,1,8,2,1,7,3,Bad,What is love?,Love is a deep feeling of affection and care.
244,1,4,2,6,9,10,6,Bad,What is love?,Love is a deep feeling of affection and care.
245,13,7,5,2,10,8,1,Bad,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
246,10,6,10,9,4,3,10,Good,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
247,10,3,5,2,9,9,5,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
248,2,9,6,5,3,9,5,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
249,13,3,4,4,2,10,9,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
250,0,3,2,9,5,3,9,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
