id,years,respect,communication,trust,conflict,time_spent,support,relationship_status,question,answer
251,7,9,1,3,2,3,1,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
252,8,4,8,10,5,2,4,Bad,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
253,2,5,7,4,3,1,4,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
254,13,9,5,6,7,4,6,Bad,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
255,9,2,2,4,7,2,8,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
256,9,6,7,9,1,1,5,Good,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
257,1,9,3,9,7,9,3,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
258,15,6,10,1,1,7,2,Bad,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
259,1,4,6,6,2,9,8,Bad,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
260,1,10,3,9,2,4,6,Good,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
261,1,1,6,10,10,6,3,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
262,15,3,5,3,3,9,4,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
263,4,6,9,7,2,9,8,Good,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
264,15,3,2,6,5,4,7,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
265,10,9,1,7,9,7,7,Bad,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
266,4,3,6,9,0,6,6,Good,How important is respect?,Respect is the foundation for a long-lasting relationship.
267,4,5,5,8,3,9,6,Bad,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
268,5,2,7,5,8,6,4,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
269,10,6,9,9,1,4,5,Good,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
270,5,4,4,1,6,7,8,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
271,12,6,10,9,0,6,7,Good,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
272,0,4,2,9,5,8,7,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
273,12,2,9,7,2,10,9,Good,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
274,7,10,9,8,1,10,1,Good,What is love?,Love is a deep feeling of affection and care.
275,7,7,6,1,10,7,8,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
276,2,8,6,3,10,4,10,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
277,2,7,6,5,6,3,5,Bad,What is love?,Love is a deep feeling of affection and care.
278,15,10,5,4,8,7,10,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
279,14,7,8,2,7,1,8,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
280,1,6,8,4,3,2,6,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
281,9,8,2,4,1,5,6,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
282,1,3,8,6,6,6,9,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
283,9,6,10,1,1,8,6,Bad,What is love?,Love is a deep feeling of affection and care.
284,14,10,1,10,3,9,3,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
285,10,9,5,10,2,7,8,Good,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
286,2,5,10,9,3,9,3,Good,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
287,10,5,4,4,5,7,8,Bad,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
288,4,6,7,9,0,10,2,Good,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
289,12,9,2,6,0,4,8,Good,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
290,12,2,8,8,8,3,10,Bad,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
291,4,3,1,7,3,7,9,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
292,14,1,2,6,1,10,8,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
293,15,8,1,6,9,2,6,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
294,1,2,8,7,5,9,7,Bad,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
295,5,3,1,4,0,1,10,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
296,9,4,8,4,0,7,10,Good,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
297,2,7,6,3,1,1,2,Bad,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
298,4,3,3,9,7,8,6,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
299,5,9,9,9,8,5,4,Bad,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
300,2,9,9,1,10,1,7,Bad,What is love?,Love is a deep feeling of affection and care.
301,1,4,1,3,0,4,7,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
302,0,6,4,7,3,6,5,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
303,9,7,6,3,6,7,3,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
304,7,9,2,10,5,2,9,Good,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
305,7,7,5,10,2,5,2,Bad,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
306,7,4,10,10,8,10,4,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
307,1,2,3,6,10,6,6,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
308,12,6,3,4,7,10,1,Bad,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
309,11,3,4,3,6,6,4,Bad,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
310,11,4,5,8,4,7,10,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
311,15,7,8,1,10,9,5,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
312,6,9,7,6,1,9,9,Good,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
313,7,5,9,9,1,6,8,Good,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
314,6,6,2,8,1,10,7,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
315,8,2,3,3,7,7,10,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
316,2,3,7,2,6,9,2,Bad,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
317,7,9,5,5,8,8,3,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
318,4,6,7,10,9,2,10,Good,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
319,13,7,2,6,0,4,8,Bad,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
320,7,7,8,10,9,5,7,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
321,0,1,8,5,9,6,10,Bad,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
322,1,4,8,5,4,4,1,Bad,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
323,1,7,5,3,9,3,2,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
324,11,1,1,5,0,7,8,Bad,What is love?,Love is a deep feeling of affection and care.
325,0,7,4,1,10,1,10,Bad,What is love?,Love is a deep feeling of affection and care.
326,5,4,1,4,9,1,8,Bad,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
327,7,2,9,3,10,5,8,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
328,4,10,1,8,0,9,2,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
329,12,3,7,8,1,5,3,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
330,5,2,8,3,10,8,6,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
331,14,10,9,3,8,10,4,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
332,9,5,5,2,2,5,10,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
333,4,5,3,9,1,2,1,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
334,0,5,10,4,10,8,10,Bad,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
335,7,8,7,10,10,6,3,Bad,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
336,8,10,10,9,9,4,3,Bad,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
337,12,2,7,3,6,8,6,Bad,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
338,2,2,7,3,3,7,8,Bad,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
339,12,3,3,6,5,3,1,Bad,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
340,13,7,6,9,5,4,5,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
341,12,10,3,9,5,1,2,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
342,5,1,8,6,2,1,6,Bad,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
343,6,7,9,3,2,10,7,Good,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
344,0,7,8,8,8,1,6,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
345,10,2,1,7,9,2,7,Bad,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
346,7,1,10,10,6,10,10,Good,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
347,2,3,1,9,10,10,10,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
348,6,4,7,2,7,4,2,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
349,8,3,7,7,5,6,9,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
350,8,1,5,2,8,2,5,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
351,0,5,5,1,8,5,10,Bad,What is love?,Love is a deep feeling of affection and care.
352,4,3,1,7,10,9,4,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
353,10,8,10,4,3,4,10,Good,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
354,5,9,4,1,8,7,9,Bad,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
355,5,8,8,1,2,6,3,Bad,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
356,3,8,9,2,10,2,5,Bad,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
357,5,10,5,4,9,1,9,Bad,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
358,8,1,3,2,5,4,8,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
359,6,5,9,8,2,9,4,Good,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
360,3,5,4,5,0,10,7,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
361,15,8,5,1,10,2,10,Bad,What is love?,Love is a deep feeling of affection and care.
362,4,7,1,3,6,1,10,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
363,3,9,3,9,0,2,1,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
364,2,7,4,1,3,1,6,Bad,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
365,4,9,5,6,3,3,1,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
366,11,9,7,9,9,7,4,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
367,13,10,6,9,3,2,7,Good,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
368,15,8,5,10,10,1,3,Bad,What is love?,Love is a deep feeling of affection and care.
369,0,5,3,2,10,6,2,Bad,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
370,4,7,3,4,6,7,6,Bad,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
371,10,10,9,9,4,9,5,Good,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
372,4,9,5,10,4,7,4,Good,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
373,14,10,2,9,9,8,4,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
374,6,7,1,5,8,4,6,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
375,2,1,4,9,1,7,8,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
376,7,1,9,4,6,8,6,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
377,5,8,10,10,6,7,8,Good,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
378,0,10,10,9,3,1,1,Good,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
379,14,8,6,5,9,6,10,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
380,2,3,4,5,3,4,4,Bad,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
381,11,10,6,8,9,7,4,Bad,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
382,6,7,9,9,3,7,8,Good,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
383,7,4,4,4,0,6,8,Bad,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
384,11,7,9,5,8,7,7,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
385,1,6,7,5,6,10,8,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
386,6,3,10,1,2,1,4,Bad,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
387,15,2,8,9,3,2,4,Bad,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
388,8,10,9,4,6,1,3,Bad,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
389,0,9,9,2,2,10,4,Bad,What is love?,Love is a deep feeling of affection and care.
390,7,1,2,8,9,1,7,Bad,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
391,13,9,3,6,10,8,1,Bad,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
392,4,10,9,6,2,9,9,Good,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
393,14,1,4,1,9,8,5,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
394,0,2,10,6,3,7,8,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
395,5,8,2,6,10,4,2,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
396,2,4,6,2,0,6,1,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
397,3,9,7,2,3,6,5,Bad,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
398,12,4,6,10,3,2,7,Good,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
399,4,5,8,2,2,5,10,Bad,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
400,7,2,4,6,6,6,3,Bad,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
401,0,9,9,1,5,5,1,Bad,What is love?,Love is a deep feeling of affection and care.
402,0,10,10,6,9,3,4,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
403,3,9,2,8,0,4,6,Good,What makes a relationship strong?,"Support, trust, respect, and shared goals."
404,4,6,9,6,4,7,5,Bad,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
405,5,7,4,9,6,3,8,Bad,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
406,0,10,5,3,5,3,1,Bad,What is love?,Love is a deep feeling of affection and care.
407,9,10,1,10,2,10,3,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
408,6,6,3,4,8,9,9,Bad,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
409,1,6,6,3,0,2,1,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
410,1,5,9,7,0,5,8,Good,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
411,4,10,3,5,6,6,7,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
412,9,10,7,5,0,7,6,Good,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
413,11,9,9,2,6,8,4,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
414,3,1,1,4,9,2,8,Bad,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
415,9,3,3,3,6,7,10,Bad,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
416,10,10,4,6,5,5,8,Bad,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
417,3,4,1,5,6,9,8,Bad,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
418,10,3,10,3,2,10,7,Bad,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
419,0,2,8,1,7,4,5,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
420,2,8,10,10,4,7,6,Good,What is love?,Love is a deep feeling of affection and care.
421,6,9,9,3,3,4,3,Bad,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
422,1,4,8,3,9,3,4,Bad,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
423,10,8,4,1,2,9,7,Bad,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
424,11,7,10,10,10,10,8,Good,What makes a relationship strong?,"Support, trust, respect, and shared goals."
425,15,9,5,5,1,1,4,Bad,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
426,14,2,5,6,0,8,10,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
427,2,9,3,10,5,7,8,Good,What is love?,Love is a deep feeling of affection and care.
428,3,1,8,3,1,4,5,Bad,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
429,12,1,1,1,2,10,1,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
430,1,6,1,10,3,7,5,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
431,7,3,7,7,7,7,9,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
432,1,7,10,4,7,3,3,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
433,2,5,4,10,4,8,5,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
434,4,8,1,2,9,1,8,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
435,12,5,9,3,1,6,8,Good,What makes a relationship strong?,"Support, trust, respect, and shared goals."
436,3,6,10,5,4,1,4,Bad,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
437,3,2,8,1,0,8,9,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
438,2,7,2,4,3,10,8,Bad,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
439,11,4,1,5,6,10,1,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
440,4,6,1,1,9,10,2,Bad,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
441,11,5,9,10,9,10,9,Good,How important is respect?,Respect is the foundation for a long-lasting relationship.
442,10,8,6,7,1,4,9,Good,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
443,8,6,3,5,1,5,5,Bad,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
444,13,9,4,3,5,2,6,Bad,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
445,9,5,5,2,2,9,2,Bad,What is love?,Love is a deep feeling of affection and care.
446,14,3,6,3,2,7,4,Bad,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
447,9,3,1,5,9,8,2,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
448,13,10,3,3,1,4,10,Good,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
449,8,10,2,2,2,7,5,Bad,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
450,8,10,6,7,4,9,9,Good,What makes a relationship strong?,"Support, trust, respect, and shared goals."
451,1,10,2,4,7,6,7,Bad,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
452,9,8,4,8,5,4,9,Good,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
453,7,3,4,10,7,1,3,Bad,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
454,12,9,1,9,3,7,4,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
455,9,10,2,7,9,9,6,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
456,2,9,5,8,0,8,3,Good,What is love?,Love is a deep feeling of affection and care.
457,14,3,8,9,4,8,7,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
458,2,9,9,4,10,10,1,Bad,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
459,0,8,2,2,1,8,5,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
460,14,3,3,2,8,1,5,Bad,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
461,7,10,7,4,3,10,2,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
462,2,1,4,1,2,6,9,Bad,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
463,8,7,7,1,2,3,2,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
464,14,8,5,8,0,7,10,Good,What makes a relationship strong?,"Support, trust, respect, and shared goals."
465,14,6,8,10,3,2,10,Good,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
466,5,5,4,7,5,6,2,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
467,5,5,7,7,3,7,5,Bad,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
468,4,3,4,4,8,8,8,Bad,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
469,10,2,5,2,4,3,6,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
470,8,2,5,10,6,3,7,Bad,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
471,4,6,7,1,6,8,2,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
472,3,7,3,10,3,3,3,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
473,13,1,5,2,2,7,4,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
474,1,4,8,1,1,10,2,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
475,12,9,7,8,4,5,5,Good,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
476,15,1,2,9,10,8,10,Bad,What is love?,Love is a deep feeling of affection and care.
477,8,6,4,7,0,8,9,Good,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
478,15,7,9,7,4,1,5,Good,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
479,14,3,1,3,8,7,10,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
480,2,10,9,4,0,3,7,Good,What makes a relationship strong?,"Support, trust, respect, and shared goals."
481,13,10,8,3,5,7,4,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
482,5,9,4,1,10,5,6,Bad,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
483,3,6,8,1,9,10,1,Bad,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
484,12,3,7,10,4,2,2,Bad,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
485,9,2,5,5,1,10,2,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
486,11,5,6,1,5,6,8,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
487,5,6,8,10,8,1,9,Good,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
488,15,5,1,8,4,9,9,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
489,10,4,6,7,1,9,1,Bad,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
490,5,6,2,4,4,6,4,Bad,What is love?,Love is a deep feeling of affection and care.
491,9,8,3,3,3,5,5,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
492,0,5,7,4,0,7,2,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
493,14,10,8,4,8,8,7,Bad,What is love?,Love is a deep feeling of affection and care.
494,3,7,8,9,10,7,6,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
495,12,8,5,7,3,7,5,Bad,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
496,11,5,8,9,8,6,9,Bad,What is love?,Love is a deep feeling of affection and care.
497,8,9,5,2,4,3,6,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
498,10,4,10,5,4,8,10,Good,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
499,15,3,9,6,9,9,4,Bad,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
500,8,8,3,10,10,9,8,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
